year,speech_type,n,proportion
2010,long,1290,0.18072289156626506
2010,medium,3140,0.4398991314093584
2010,short,2708,0.3793779770243766
2011,long,920,0.09714889123548047
2011,medium,3183,0.3361140443505808
2011,short,5367,0.5667370644139388
2012,long,831,0.12698655256723718
2012,medium,2529,0.38646088019559904
2012,short,3184,0.48655256723716384
2013,long,822,0.08906707118864449
2013,medium,3765,0.4079531910282804
2013,short,4642,0.5029797377830751
2014,long,920,0.13863773357444242
2014,medium,2607,0.39285714285714285
2014,short,3109,0.4685051235684147
2015,long,957,0.10361628410567345
2015,medium,3169,0.3431139021221308
2015,short,5110,0.5532698137721958
2016,long,978,0.14872262773722628
2016,medium,2632,0.4002433090024331
2016,short,2966,0.4510340632603406
2017,long,1135,0.11473918317832592
2017,medium,3885,0.39274160938131825
2017,short,4872,0.4925192074403558
2018,long,1089,0.14456391875746716
2018,medium,2917,0.38722952343024025
2018,short,3527,0.4682065578122926
2019,long,973,0.1050755939524838
2019,medium,3239,0.3497840172786177
2019,short,5048,0.5451403887688985
2020,long,726,0.1217916456970307
2020,medium,1928,0.3234356651568529
2020,short,3307,0.5547726891461164
2021,long,757,0.09708862382967808
2021,medium,2289,0.293574451712197
2021,short,4751,0.6093369244581249
2022,long,875,0.1371473354231975
2022,medium,2236,0.3504702194357367
2022,short,3269,0.5123824451410658
2023,long,678,0.06657501963864886
2023,medium,2714,0.266496465043205
2023,short,6792,0.6669285153181461
2024,long,989,0.11679263108171942
2024,medium,2672,0.31554085970713275
2024,short,4807,0.5676665092111478
2025,long,782,0.10223558635115701
2025,medium,3040,0.3974375735390247
2025,short,3827,0.5003268401098183
