year,avg_word_count,median_word_count,sd_word_count,p25_word_count,p75_word_count
2010,1492.037825721483,230,7797.874999530712,108,756
2011,1202.4049630411757,140,7164.967775974248,72,273.75
2012,1396.1387530562424,205,8742.941507360814,77,420
2013,1052.13002492143,198,6542.330130347839,79,269
2014,1439.9005424954887,210,8978.42756545974,84,408.25
2015,1277.5671286271254,163,10144.73168841479,74,268
2016,1355.3534063260313,218,9545.201010924984,86,532
2017,1110.301556813606,203,7603.477325835195,78,292
2018,1420.3536439665709,212,11377.690678518,79,479
2019,1095.2146868250518,170,7683.8172130048115,71,272
2020,1495.6727059218385,154,17451.106463528857,68,292
2021,1181.9229190714339,103,11295.975466882852,63,257
2022,1485.6528213166123,194,16342.5965534967,71,445
2023,711.6105655930924,96,5082.404212336974,71,235
2024,953.6270666036847,134,6934.204450652092,76,311
2025,824.3101058961872,199,7647.683496867312,70,318
